Zero 3 5 [1, 3, 4, 5, 8]
[60, 8, 19, 20, 40]
[60, 8, 19, 21, 40]
[60, 8, 19, 21, 43]
[60, 8, 19, 21, 44]
[60, 8, 19, 22, 39]
[60, 8, 19, 22, 43]
[60, 8, 19, 22, 44]
[60, 8, 19, 23, 43]
[60, 8, 19, 23, 44]
[60, 8, 19, 27, 39]
[60, 8, 19, 27, 40]
[60, 8, 19, 27, 43]
[60, 8, 19, 27, 44]
[60, 9, 14, 21, 40]
[60, 9, 14, 22, 39]
[60, 9, 14, 22, 40]
[60, 9, 14, 23, 40]
[60, 9, 14, 27, 39]
[60, 9, 14, 27, 40]
[60, 9, 15, 20, 39]
[60, 9, 15, 20, 40]
[60, 9, 15, 23, 40]
[60, 9, 15, 23, 43]
[60, 9, 15, 23, 44]
[60, 9, 17, 20, 39]
[60, 9, 17, 20, 40]
[60, 9, 17, 21, 40]
[60, 9, 17, 21, 43]
[60, 9, 17, 21, 44]
[60, 9, 17, 22, 39]
[60, 9, 17, 22, 40]
[60, 9, 17, 22, 43]
[60, 9, 17, 22, 44]
[60, 9, 17, 23, 40]
[60, 9, 17, 23, 43]
[60, 9, 17, 23, 44]
[60, 9, 17, 27, 39]
[60, 9, 17, 27, 40]
[60, 9, 17, 27, 43]
[60, 9, 17, 27, 44]
[60, 9, 18, 20, 39]
[60, 9, 18, 20, 40]
[60, 9, 18, 21, 40]
[60, 9, 18, 21, 43]
[60, 9, 18, 21, 44]
[60, 9, 18, 22, 39]
[60, 9, 18, 22, 40]
[60, 9, 18, 22, 43]
[60, 9, 18, 22, 44]
[60, 9, 18, 23, 40]
[60, 9, 18, 23, 43]
[60, 9, 18, 23, 44]
[60, 9, 18, 27, 39]
[60, 9, 18, 27, 40]
[60, 9, 18, 27, 43]
[60, 9, 18, 27, 44]
[60, 9, 19, 20, 39]
[60, 9, 19, 20, 40]
[60, 9, 19, 21, 40]
[60, 9, 19, 21, 43]
[60, 9, 19, 21, 44]
[60, 9, 19, 22, 39]
[60, 9, 19, 22, 40]
[60, 9, 19, 22, 43]
[60, 9, 19, 22, 44]
[60, 9, 19, 23, 40]
[60, 9, 19, 23, 43]
[60, 9, 19, 23, 44]
[60, 9, 19, 27, 39]
[60, 9, 19, 27, 40]
[60, 9, 19, 27, 43]
[60, 9, 19, 27, 44]
[60, 12, 14, 20, 40]
[60, 12, 14, 22, 40]
[60, 12, 14, 22, 43]
[60, 12, 14, 22, 44]
[60, 12, 14, 27, 40]
[60, 12, 14, 27, 43]
[60, 12, 14, 27, 44]
[60, 12, 15, 20, 40]
[60, 12, 15, 20, 43]
[60, 12, 15, 20, 44]
[60, 12, 15, 22, 40]
[60, 12, 15, 22, 43]
[60, 12, 15, 22, 44]
[60, 12, 15, 27, 40]
[60, 12, 15, 27, 43]
[60, 12, 15, 27, 44]
[60, 12, 17, 22, 40]
[60, 12, 17, 22, 43]
[60, 12, 17, 22, 44]
[60, 12, 18, 22, 40]
[60, 12, 18, 22, 43]
[60, 12, 18, 22, 44]
[60, 12, 19, 20, 40]
[60, 12, 19, 20, 43]
[60, 12, 19, 20, 44]
[60, 12, 19, 22, 40]
[60, 12, 19, 22, 43]
[60, 12, 19, 22, 44]
[60, 12, 19, 27, 40]
[60, 12, 19, 27, 43]
[60, 12, 19, 27, 44]
[60, 8, 14, 21, 46]
[60, 8, 14, 21, 48]
[60, 8, 14, 22, 46]
[60, 8, 14, 22, 47]
[60, 8, 14, 22, 48]
[60, 8, 14, 23, 46]
[60, 8, 14, 23, 48]
[60, 8, 14, 27, 46]
[60, 8, 14, 27, 47]
[60, 8, 14, 27, 48]
[60, 8, 15, 20, 46]
[60, 8, 15, 20, 47]
[60, 8, 15, 20, 48]
[60, 8, 15, 21, 46]
[60, 8, 15, 21, 48]
[60, 8, 15, 22, 46]
[60, 8, 15, 22, 47]
[60, 8, 15, 22, 48]
[60, 8, 15, 23, 46]
[60, 8, 15, 23, 48]
[60, 8, 15, 27, 46]
[60, 8, 15, 27, 47]
[60, 8, 15, 27, 48]
[60, 8, 17, 20, 47]
[60, 8, 17, 20, 48]
[60, 8, 17, 21, 46]
[60, 8, 17, 21, 48]
[60, 8, 17, 22, 46]
[60, 8, 17, 22, 47]
[60, 8, 17, 22, 48]
[60, 8, 17, 23, 46]
[60, 8, 17, 23, 48]
[60, 8, 17, 27, 47]
[60, 8, 17, 27, 48]
[60, 8, 18, 20, 47]
[60, 8, 18, 20, 48]
[60, 8, 18, 21, 46]
[60, 8, 18, 21, 48]
[60, 8, 18, 22, 46]
[60, 8, 18, 22, 47]
[60, 8, 18, 22, 48]
[60, 8, 18, 23, 46]
[60, 8, 18, 23, 48]
[60, 8, 18, 27, 47]
[60, 8, 18, 27, 48]
[60, 8, 19, 20, 46]
[60, 8, 19, 20, 47]
[60, 8, 19, 20, 48]
[60, 8, 19, 21, 46]
[60, 8, 19, 21, 48]
[60, 8, 19, 27, 46]
[60, 8, 19, 27, 47]
[60, 8, 19, 27, 48]
[60, 9, 14, 21, 46]
[60, 9, 14, 21, 48]
[60, 9, 14, 22, 46]
[60, 9, 14, 22, 47]
[60, 9, 14, 22, 48]
[60, 9, 14, 23, 46]
[60, 9, 14, 23, 48]
[60, 9, 14, 27, 46]
[60, 9, 14, 27, 47]
[60, 9, 14, 27, 48]
[60, 9, 15, 20, 46]
[60, 9, 15, 20, 47]
[60, 9, 15, 20, 48]
[60, 9, 15, 21, 46]
[60, 9, 15, 22, 46]
[60, 9, 15, 22, 47]
[60, 9, 15, 23, 46]
[60, 9, 15, 23, 48]
[60, 9, 15, 27, 46]
[60, 9, 15, 27, 47]
[60, 9, 17, 20, 47]
[60, 9, 17, 20, 48]
[60, 9, 17, 21, 46]
[60, 9, 17, 21, 48]
[60, 9, 17, 22, 46]
[60, 9, 17, 22, 47]
[60, 9, 17, 22, 48]
[60, 9, 17, 23, 46]
[60, 9, 17, 23, 48]
[60, 9, 17, 27, 47]
[60, 9, 17, 27, 48]
[60, 9, 18, 20, 47]
[60, 9, 18, 20, 48]
[60, 9, 18, 21, 46]
[60, 9, 18, 21, 48]
[60, 9, 18, 22, 46]
[60, 9, 18, 22, 47]
[60, 9, 18, 22, 48]
[60, 9, 18, 23, 46]
[60, 9, 18, 23, 48]
[60, 9, 18, 27, 47]
[60, 9, 18, 27, 48]
[60, 9, 19, 20, 46]
[60, 9, 19, 20, 47]
[60, 9, 19, 20, 48]
[60, 9, 19, 21, 46]
[60, 9, 19, 21, 48]
[60, 9, 19, 22, 46]
[60, 9, 19, 22, 47]
[60, 9, 19, 22, 48]
[60, 9, 19, 23, 46]
[60, 9, 19, 23, 48]
[60, 9, 19, 27, 46]
[60, 9, 19, 27, 47]
[60, 9, 19, 27, 48]
[60, 12, 14, 20, 48]
[60, 12, 14, 22, 46]
[60, 12, 14, 22, 48]
[60, 12, 14, 27, 48]
[60, 12, 15, 20, 48]
[60, 12, 15, 22, 46]
[60, 12, 15, 22, 48]
[60, 12, 15, 27, 48]
[60, 12, 17, 22, 48]
[60, 12, 18, 22, 48]
[60, 12, 19, 20, 48]
[60, 12, 19, 22, 46]
