Blaster 3 6 [0, 1, 2, 4, 5, 7] Mon Aug 23 21:03:52 2021
[36, 14, 20, 31, 45, 57]
[36, 14, 20, 31, 45, 58]
[36, 14, 20, 31, 45, 59]
[36, 14, 20, 31, 45, 61]
[36, 14, 20, 31, 45, 62]
[36, 14, 20, 31, 45, 67]
[36, 14, 20, 31, 45, 68]
[36, 14, 20, 31, 46, 53]
[36, 14, 20, 31, 46, 54]
[36, 14, 20, 31, 46, 55]
[36, 14, 20, 31, 46, 57]
[36, 14, 20, 31, 46, 58]
[36, 14, 20, 31, 46, 59]
[36, 14, 20, 31, 46, 61]
[36, 14, 20, 31, 46, 62]
[36, 14, 20, 31, 46, 67]
[36, 14, 20, 31, 46, 68]
[36, 14, 20, 31, 48, 53]
[36, 14, 20, 31, 48, 54]
[36, 14, 20, 31, 48, 55]
[36, 14, 20, 31, 48, 57]
[36, 14, 20, 31, 48, 58]
[36, 14, 20, 31, 48, 59]
[36, 14, 20, 31, 48, 61]
[36, 14, 20, 31, 48, 62]
[36, 14, 20, 31, 48, 67]
[36, 14, 20, 31, 48, 68]
[36, 14, 20, 31, 50, 55]
[36, 14, 20, 31, 50, 57]
[36, 14, 20, 31, 50, 58]
[36, 14, 20, 31, 50, 61]
[36, 14, 20, 31, 50, 62]
[36, 14, 20, 31, 50, 67]
[36, 14, 20, 31, 50, 68]
[36, 14, 20, 31, 51, 55]
[36, 14, 20, 31, 51, 57]
[36, 14, 20, 31, 51, 58]
[36, 14, 20, 31, 51, 61]
[36, 14, 20, 31, 51, 62]
[36, 14, 20, 31, 51, 67]
[36, 14, 20, 31, 51, 68]
[36, 14, 20, 32, 44, 56]
[36, 14, 20, 32, 44, 57]
[36, 14, 20, 32, 44, 58]
[36, 14, 20, 32, 44, 61]
[36, 14, 20, 32, 44, 62]
[36, 14, 20, 32, 44, 67]
[36, 14, 20, 32, 45, 55]
[36, 14, 20, 32, 45, 56]
[36, 14, 20, 32, 45, 57]
[36, 14, 20, 32, 45, 58]
[36, 14, 20, 32, 45, 61]
[36, 14, 20, 32, 45, 62]
[36, 14, 20, 32, 45, 67]
[36, 14, 20, 32, 45, 68]
[36, 14, 20, 32, 46, 55]
[36, 14, 20, 32, 46, 56]
[36, 14, 20, 32, 46, 57]
[36, 14, 20, 32, 46, 58]
[36, 14, 20, 32, 46, 61]
[36, 14, 20, 32, 46, 62]
[36, 14, 20, 32, 46, 67]
[36, 14, 20, 32, 46, 68]
[36, 14, 20, 32, 48, 55]
[36, 14, 20, 32, 48, 56]
[36, 14, 20, 32, 48, 57]
[36, 14, 20, 32, 48, 58]
[36, 14, 20, 32, 48, 61]
[36, 14, 20, 32, 48, 62]
[36, 14, 20, 32, 48, 67]
[36, 14, 20, 32, 48, 68]
[36, 14, 20, 34, 44, 53]
[36, 14, 20, 34, 44, 54]
[36, 14, 20, 34, 44, 56]
[36, 14, 20, 34, 44, 57]
[36, 14, 20, 34, 44, 59]
[36, 14, 20, 34, 44, 61]
[36, 14, 20, 34, 44, 67]
[36, 14, 20, 34, 45, 53]
[36, 14, 20, 34, 45, 54]
[36, 14, 20, 34, 45, 55]
[36, 14, 20, 34, 45, 56]
[36, 14, 20, 34, 45, 57]
[36, 14, 20, 34, 45, 59]
[36, 14, 20, 34, 45, 61]
[36, 14, 20, 34, 45, 67]
[36, 14, 20, 34, 45, 68]
[36, 14, 20, 34, 46, 53]
[36, 14, 20, 34, 46, 54]
[36, 14, 20, 34, 46, 55]
[36, 14, 20, 34, 46, 56]
[36, 14, 20, 34, 46, 57]
[36, 14, 20, 34, 46, 59]
[36, 14, 20, 34, 46, 61]
[36, 14, 20, 34, 46, 67]
[36, 14, 20, 34, 46, 68]
[36, 14, 20, 34, 48, 53]
[36, 14, 20, 34, 48, 54]
[36, 14, 20, 34, 48, 55]
[36, 14, 20, 34, 48, 56]
[36, 14, 20, 34, 48, 57]
[36, 14, 20, 34, 48, 59]
[36, 14, 20, 34, 48, 61]
[36, 14, 20, 34, 48, 67]
[36, 14, 20, 34, 48, 68]
[36, 14, 20, 34, 50, 55]
[36, 14, 20, 34, 50, 56]
[36, 14, 20, 34, 50, 57]
[36, 14, 20, 34, 50, 61]
[36, 14, 20, 34, 50, 67]
[36, 14, 20, 34, 50, 68]
[36, 14, 20, 34, 51, 55]
[36, 14, 20, 34, 51, 56]
[36, 14, 20, 34, 51, 57]
[36, 14, 20, 34, 51, 61]
[36, 14, 20, 34, 51, 67]
