Dual_blade 3 4 [6, 11, 12, 14] Mon Aug 23 16:50:28 2021
[89, 42, 71, 80]
[89, 42, 74, 79]
[89, 42, 74, 80]
[89, 42, 77, 79]
[89, 42, 77, 80]
[89, 44, 70, 80]
[89, 44, 71, 79]
[89, 44, 71, 80]
[89, 44, 74, 79]
[89, 44, 74, 80]
[89, 44, 77, 79]
[89, 44, 77, 80]
[89, 50, 58, 70]
[89, 50, 58, 71]
[89, 50, 58, 77]
[89, 53, 58, 71]
[89, 53, 58, 77]
[89, 50, 58, 79]
[89, 50, 69, 70]
[89, 50, 69, 71]
[89, 50, 69, 77]
[89, 53, 69, 70]
[89, 53, 69, 71]
[89, 53, 69, 77]
[89, 50, 69, 79]
[89, 53, 69, 79]
[89, 50, 70, 79]
[89, 50, 70, 80]
[89, 50, 71, 79]
[89, 50, 71, 80]
[89, 50, 74, 79]
[89, 50, 77, 79]
[89, 50, 77, 80]
[89, 53, 70, 80]
[89, 53, 71, 79]
[89, 53, 71, 80]
[89, 53, 74, 79]
[89, 53, 77, 79]
[89, 53, 77, 80]
[89, 58, 69, 70]
[89, 58, 69, 71]
[89, 58, 69, 77]
[89, 58, 69, 79]
[89, 58, 70, 80]
[89, 58, 71, 79]
[89, 58, 71, 80]
[89, 58, 74, 79]
[89, 58, 77, 79]
[89, 58, 77, 80]
[89, 69, 70, 79]
[89, 69, 70, 80]
[89, 69, 71, 79]
[89, 69, 71, 80]
[89, 69, 74, 79]
[89, 69, 77, 79]
[89, 69, 77, 80]
