Zero 2 6 [0, 1, 2, 3, 4, 5, 6, 7, 8] Mon Aug 23 08:53:08 2021
[8, 20, 49, 67, 82, 97]
[8, 24, 49, 67, 86, 97]
[9, 20, 40, 67, 82, 97]
[9, 24, 40, 67, 86, 97]
[9, 27, 49, 67, 86, 97]
[9, 31, 49, 67, 83, 97]
[9, 34, 41, 67, 86, 97]
[9, 34, 44, 50, 87, 97]
[9, 34, 44, 54, 86, 97]
[10, 20, 40, 78, 87, 96]
[10, 20, 41, 69, 82, 98]
[10, 20, 42, 65, 83, 97]
[10, 20, 42, 78, 87, 99]
[10, 20, 46, 52, 82, 98]
[10, 20, 49, 53, 83, 98]
[10, 20, 49, 71, 83, 96]
[10, 21, 40, 65, 82, 98]
[10, 21, 41, 55, 82, 98]
[10, 21, 44, 52, 82, 98]
[10, 24, 40, 53, 87, 98]
[10, 24, 40, 65, 88, 98]
[10, 24, 40, 71, 87, 96]
[10, 24, 41, 55, 88, 98]
[10, 24, 41, 69, 86, 98]
[10, 24, 42, 71, 87, 99]
[10, 24, 44, 52, 88, 98]
[10, 24, 44, 55, 91, 96]
[10, 24, 44, 59, 87, 97]
[10, 24, 44, 69, 87, 96]
[10, 24, 46, 52, 86, 98]
[10, 24, 46, 55, 87, 96]
[10, 27, 42, 65, 87, 97]
[10, 27, 49, 53, 87, 98]
[10, 27, 49, 65, 88, 98]
[10, 27, 49, 71, 87, 96]
[10, 29, 49, 78, 87, 98]
[10, 30, 41, 78, 87, 98]
[10, 31, 49, 78, 81, 98]
[10, 34, 41, 53, 87, 98]
[10, 34, 41, 65, 88, 98]
[10, 34, 41, 71, 87, 96]
[10, 34, 44, 56, 91, 98]
[10, 34, 44, 65, 91, 96]
[10, 34, 46, 56, 87, 98]
[10, 34, 46, 65, 87, 96]
[10, 35, 49, 71, 82, 98]
[10, 35, 49, 78, 86, 98]
[14, 20, 49, 67, 83, 97]
[14, 24, 40, 67, 87, 97]
[14, 24, 44, 65, 95, 97]
[14, 27, 49, 67, 87, 97]
[14, 34, 41, 67, 87, 97]
[14, 34, 44, 54, 87, 97]
[15, 20, 40, 50, 88, 98]
[15, 20, 40, 64, 86, 96]
[15, 20, 40, 67, 88, 96]
[15, 20, 40, 74, 86, 97]
[15, 20, 42, 64, 86, 99]
[15, 20, 42, 67, 88, 99]
[15, 20, 44, 53, 95, 96]
[15, 20, 44, 58, 95, 97]
[15, 21, 40, 50, 86, 98]
[15, 21, 40, 67, 86, 96]
[15, 21, 42, 67, 86, 99]
[15, 23, 49, 67, 86, 99]
[15, 26, 49, 67, 86, 97]
[15, 29, 42, 67, 87, 97]
[15, 29, 49, 64, 86, 98]
[15, 29, 49, 67, 88, 98]
[15, 30, 41, 64, 86, 98]
[15, 30, 41, 67, 88, 98]
[15, 30, 44, 50, 91, 98]
